Cascais,Monte Estoril,Estoril,S. João,S. Pedro,Parede,Carcavelos,Oeiras,Santo Amaro,Paço de Arcos,Caxias,Cruz Quebrada,Algés,Belém,Alcântara,Santos,Cais do Sodré
,,,,,,,14:42,14:44,14:47,14:49,14:52,14:55,14:58,15:01,15:04,15:06
14:44,14:46,14:48,14:50,14:52,14:55,14:57,15:00,,,,,15:08,,15:13,,15:17
,,,,,,,15:02,15:04,15:07,15:09,15:12,15:15,15:18,15:21,15:24,15:26
15:04,15:06,15:08,15:10,15:12,15:15,15:17,15:20,,,,,15:28,,15:33,,15:37
,,,,,,,15:22,15:24,15:27,15:29,15:32,15:35,15:38,15:41,15:44,15:46
15:24,15:26,15:28,15:30,15:32,15:35,15:37,15:40,,,,,15:48,,15:53,,15:57
,,,,,,,15:42,15:44,15:47,15:49,15:52,15:55,15:58,16:01,16:04,16:06
15:44,15:46,15:48,15:50,15:52,15:55,15:57,16:00,,,,,16:08,,16:13,,16:17
,,,,,,,16:02,16:04,16:07,16:09,16:12,16:15,16:18,16:21,16:24,16:26
16:04,16:06,16:08,16:10,16:12,16:15,16:17,16:20,,,,,16:28,,16:33,,16:37
,,,,,,,16:22,16:24,16:27,16:29,16:32,16:35,16:38,16:41,16:44,16:46
16:24,16:26,16:28,16:30,16:32,16:35,16:37,16:40,,,,,16:48,,16:53,,16:57
,,,,,,,16:42,16:44,16:47,16:49,16:52,16:55,16:58,17:01,17:04,17:06
16:44,16:46,16:48,16:50,16:52,16:55,16:57,17:00,,,,,17:08,,17:13,,17:17
,,,,,,,17:02,17:04,17:07,17:09,17:12,17:15,17:18,17:21,17:24,17:26
17:04,17:06,17:08,17:10,17:12,17:15,17:17,17:20,,,,,17:28,,17:33,,17:37
,,,,,,,17:22,17:24,17:27,17:29,17:32,17:35,17:38,17:41,17:44,17:46
17:16,17:18,17:20,17:22,17:24,17:27,17:29,17:32,,,,,17:40,,17:45,,17:49
,,,,,,,17:34,17:36,17:39,17:41,17:44,17:47,17:50,17:53,17:56,17:58
17:28,17:30,17:32,17:34,17:36,17:39,17:41,17:44,,,,,17:52,,17:57,,18:01
,,,,,,,17:46,17:48,17:51,17:53,17:56,17:59,18:02,18:05,18:08,18:10
17:40,17:42,17:44,17:46,17:48,17:51,17:53,17:56,,,,,18:04,,18:09,,18:13
,,,,,,,17:58,18:00,18:03,18:05,18:08,18:11,18:14,18:17,18:20,18:22
17:52,17:54,17:56,17:58,18:00,18:03,18:05,18:08,,,,,18:16,,18:21,,18:25
,,,,,,,18:10,18:12,18:15,18:17,18:20,18:23,18:26,18:29,18:32,18:34
18:04,18:06,18:08,18:10,18:12,18:15,18:17,18:20,,,,,18:28,,18:33,,18:37
,,,,,,,18:22,18:24,18:27,18:29,18:32,18:35,18:38,18:41,18:44,18:46
18:16,18:18,18:20,18:22,18:24,18:27,18:29,18:32,,,,,18:40,,18:45,,18:49
,,,,,,,18:34,18:36,18:39,18:41,18:44,18:47,18:50,18:53,18:56,18:58
18:28,18:30,18:32,18:34,18:36,18:39,18:41,18:44,,,,,18:52,,18:57,,19:01
,,,,,,,18:46,18:48,18:51,18:53,18:56,18:59,19:02,19:05,19:08,19:10
18:40,18:42,18:44,18:46,18:48,18:51,18:53,18:56,,,,,19:04,,19:09,,19:13
,,,,,,,18:58,19:00,19:03,19:05,19:08,19:11,19:14,19:17,19:20,19:22
18:52,18:54,18:56,18:58,19:00,19:03,19:05,19:08,,,,,19:16,,19:21,,19:25
,,,,,,,19:10,19:12,19:15,19:17,19:20,19:23,19:26,19:29,19:32,19:34
19:04,19:06,19:08,19:10,19:12,19:15,19:17,19:20,,,,,19:28,,19:33,,19:37
,,,,,,,19:22,19:24,19:27,19:29,19:32,19:35,19:38,19:41,19:44,19:46
19:16,19:18,19:20,19:22,19:24,19:27,19:29,19:32,,,,,19:40,,19:45,,19:49
,,,,,,,19:34,19:36,19:39,19:41,19:44,19:47,19:50,19:53,19:56,19:58
19:28,19:30,19:32,19:34,19:36,19:39,19:41,19:44,,,,,19:52,,19:57,,20:01
,,,,,,,19:46,19:48,19:51,19:53,19:56,19:59,20:02,20:05,20:08,20:10
19:40,19:42,19:44,19:46,19:48,19:51,19:53,19:56,,,,,20:04,,20:09,,20:13
,,,,,,,19:58,20:00,20:03,20:05,20:08,20:11,20:14,20:17,20:20,20:22
19:52,19:54,19:56,19:58,20:00,20:03,20:05,20:08,,,,,20:16,,20:21,,20:25
,,,,,,,20:10,20:12,20:15,20:17,20:20,20:23,20:26,20:29,20:32,20:34
20:04,20:06,20:08,20:10,20:12,20:15,20:17,20:20,,,,,20:28,,20:33,,20:37
,,,,,,,20:22,20:24,20:27,20:29,20:32,20:35,20:38,20:41,20:44,20:46
20:16,20:18,20:20,20:22,20:24,20:27,20:29,20:32,,,,,20:40,,20:45,,20:49
,,,,,,,20:34,20:36,20:39,20:41,20:44,20:47,20:50,20:53,20:56,20:58
20:28,20:30,20:32,20:34,20:36,20:39,20:41,20:44,,,,,20:52,,20:57,,21:01
,,,,,,,20:46,20:48,20:51,20:53,20:56,20:59,21:02,21:05,21:08,21:10
20:40,20:42,20:44,20:46,20:48,20:51,20:53,20:56,,,,,21:04,,21:09,,21:13
